EXPECTED_PACE,SUM_ORTG_30,SUM_DRTG_30,SUM_EFG_30,SUM_FT_RATE_30,SUM_PTS_30,SUM_PTS_10,PACE_X_EFG,TOTAL,GAME_DATE,HOME_TEAM,AWAY_TEAM
100.732,202.972547976004,213.23204070164854,0.9712407490528658,0.3598245441815586,204.6,204.6,97.83502313359328,219,2021-10-29,TOR,ORL
104.74600000000001,207.20513258970112,213.90979013010673,1.0395826248325943,0.33913146523860305,215.4,215.4,108.89212162071493,203,2021-10-29,BKN,IND
104.55799999999999,211.94988815524908,212.14042226603922,1.0546822881718658,0.37348386738461825,221.0,221.0,110.27547068667394,214,2021-10-29,LAL,CLE
102.88666666666666,211.95135473580228,211.97605636536537,1.032717865744392,0.3054340845874425,217.96666666666667,217.96666666666667,106.25289881355468,240,2021-10-30,NOP,NYK
98.9,221.41755629189936,210.45696070990323,1.0811442650359036,0.31309532456192435,218.6,218.6,106.92516781205087,216,2021-10-30,PHI,ATL
103.01666666666665,210.06653687003438,209.26920644382415,1.006967922123954,0.3532032110344153,215.66666666666666,215.66666666666666,103.73447877746932,191,2021-10-30,IND,TOR
103.59400000000001,216.29496894569508,204.91442038755514,1.0181417216507866,0.3475926750995183,225.0,225.0,105.4733735126916,232,2021-10-30,MEM,MIA
104.666,214.39767250276063,213.99236520015006,1.0543611123792087,0.31121603450088553,224.0,224.0,110.35576018828226,195,2021-10-30,MIL,SAS
106.344,212.87021276700858,213.1359105688447,1.0315557057908424,0.38755523788615953,226.4,226.4,109.69975997662134,227,2021-10-30,WAS,BOS
103.24000000000001,206.25850441139968,214.05744551997026,1.0324456611850106,0.345861693683237,212.60000000000002,212.60000000000002,106.5896900607405,185,2021-10-30,GSW,OKC
103.86233333333334,214.71069700882228,203.26382552579668,1.0414316289174288,0.41609663368180555,222.5,222.5,108.1655189864983,202,2021-10-31,MIL,UTA
102.116,203.52807120661632,212.5002902305445,0.9937410250199059,0.3379880516974474,208.0,208.0,101.47685851093271,204,2021-10-31,DAL,SAC
101.84733333333332,197.62751122761833,206.85136103931853,0.9606337625963006,0.37488730547437876,199.7,199.7,97.83798703039962,208,2021-10-31,BKN,DET
105.519,219.48626917374702,210.65797347523966,1.0727680929920744,0.3515663541623021,231.1,231.1,113.19741640443071,238,2021-10-31,CHA,POR
105.64033333333333,208.5357972140947,216.75337570797674,1.0632952230746922,0.3466486364054881,220.3,220.3,112.3268617973515,180,2021-10-31,LAL,HOU
101.72452380952382,217.9811037180563,205.88028628230091,1.0458545921893803,0.33539717784003875,220.71428571428572,220.71428571428572,106.38906036446843,217,2021-11-01,NYK,TOR
102.31285714285713,215.93023241533024,214.24673960905108,1.0473920215975203,0.35793095410885206,221.14285714285714,221.14285714285714,107.16167027827542,223,2021-11-01,CHA,CLE
101.89333333333332,208.3143962716032,211.31155542323233,1.0543218116411945,0.26771575522391355,213.5,213.5,107.42836379416009,203,2021-11-01,MEM,DEN
101.54942857142858,202.35778382912844,212.5961940828724,1.0082797477183667,0.33109176104216564,206.6857142857143,206.6857142857143,102.39023222094431,212,2021-11-01,MIN,ORL
105.68833333333333,208.50721925051093,205.77578223188073,1.0092726566013153,0.4067453299889783,220.5,220.5,106.66834495509868,242,2021-11-01,BOS,CHI
103.65666666666665,212.044401033003,206.73853083769995,1.0051983231216777,0.3467827731522207,218.83333333333334,218.83333333333334,104.19550751371602,229,2021-11-01,ATL,WAS
101.18833333333333,224.09737468037832,210.96931050774555,1.1046398439053555,0.3526047952926424,225.5,225.5,111.77666473837641,216,2021-11-01,PHI,POR
102.39133333333334,195.42967686807893,212.14282220967584,0.9653753541479634,0.2990289142634971,199.96666666666667,199.96666666666667,98.84606967834884,193,2021-11-01,LAC,OKC
105.12428571428572,206.62508058475242,208.62658832502765,1.0324735699806875,0.28614809008126446,217.0952380952381,217.0952380952381,108.53804656309836,249,2021-11-01,IND,SAS
102.06,215.59104756164885,206.31646491397845,1.0394176047039365,0.41870598176565993,220.16666666666669,220.16666666666669,106.08296073608376,232,2021-11-02,UTA,SAC
105.35904761904763,203.0999570610208,210.20132142404464,1.0408962704377256,0.33735830140946194,214.07142857142856,214.07142857142856,109.66783972353741,236,2021-11-02,LAL,HOU
101.6852380952381,200.8369853462565,215.71886680112868,0.9742082656091005,0.3516438135117428,204.45238095238096,204.45238095238096,99.06259944281034,206,2021-11-02,DET,MIL
101.51885714285714,206.39942784451716,218.22319908557364,1.0035083548151211,0.3363587506122191,209.4857142857143,209.4857142857143,101.87502131413989,212,2021-11-02,PHX,NOP
101.85166666666666,208.80333629407954,196.11901473547542,0.9990645447478923,0.3504041914989316,212.33333333333331,212.33333333333331,101.7563889901474,235,2021-11-02,DAL,MIA
104.55053571428573,207.37188721544632,222.8736120247202,1.0181724797693943,0.3649152811537615,217.73214285714286,218.71428571428572,106.45047820943292,171,2021-11-03,ORL,BOS
101.74285714285713,207.3107543628313,209.87974792137055,1.0486953726237684,0.2530681838189175,212.0,212.0,106.6972634832354,214,2021-11-03,MEM,DEN
99.07428571428571,224.67006749705487,206.5174590263892,1.1012940032045937,0.4063507678121707,221.85714285714283,221.85714285714283,109.10991672892139,201,2021-11-03,PHI,CHI
102.39589285714285,212.86218713409875,205.97492481148055,0.9958768784693348,0.37218798550579424,217.30357142857144,220.42857142857144,101.97370214665189,209,2021-11-03,WAS,TOR
102.86999999999999,199.54873052719284,200.90523087036627,0.9717675542933277,0.28911837604465324,205.33333333333334,205.33333333333334,99.96572831015462,241,2021-11-03,MIN,LAC
102.5767857142857,207.31166439640208,219.328515622572,1.0008190197791935,0.34094901311850523,213.32142857142856,214.28571428571428,102.66079813067181,211,2021-11-03,SAC,NOP
101.55517857142857,213.5090607201885,211.74173458339865,1.036999517430396,0.35320982363724207,215.875,213.42857142857144,105.31267117112913,211,2021-11-03,CLE,POR
100.87571428571428,212.74264466198326,207.70197521647594,1.044168638777462,0.3523608112989378,212.42857142857144,212.42857142857144,105.33125727141847,225,2021-11-03,BKN,ATL
104.79833333333335,218.36771446838847,207.93570402619017,1.079939974967068,0.3255703394496755,228.33333333333331,227.54761904761904,113.17590947659046,206,2021-11-03,GSW,CHA
101.86714285714285,206.55225112335273,212.6935939024085,1.0073104776029762,0.2832362843334747,210.0,210.0,102.61184032347917,217,2021-11-03,SAS,DAL
103.925,218.99660447094703,214.56220078715754,1.0993942226827513,0.3449966635768889,226.39285714285714,224.85714285714283,114.25454459230492,209,2021-11-03,IND,NYK
104.79107142857143,216.82710299268825,203.97736103245626,1.0336510582988618,0.39706436049632515,226.69642857142856,223.42857142857144,108.31740188241449,173,2021-11-04,MIA,BOS
103.41047619047619,203.10680953902485,211.9572297829901,1.036221749081247,0.35426450741123966,210.04761904761904,210.04761904761904,107.1561845114199,234,2021-11-04,PHX,HOU
101.16624999999999,218.29813064821565,205.72684654008557,1.034346594417941,0.3901294478431023,220.16071428571428,219.42857142857144,104.64096615753402,214,2021-11-04,ATL,UTA
103.90625,201.73434983085158,214.82895741424852,1.0192430166214472,0.3115352249735243,210.08928571428572,210.0,105.90571969582226,211,2021-11-04,LAL,OKC
98.88607142857143,208.6116515909027,214.5193684300217,1.0211273972151234,0.37276602436002965,206.14285714285714,205.28571428571428,100.97527673868592,207,2021-11-04,DET,PHI
102.75777777777778,216.90945905201767,215.82717015571376,1.0759855632918938,0.31053808050784304,222.22222222222223,216.0,110.56588540484546,216,2021-11-05,POR,IND
102.22416666666668,205.5831656305778,215.84530599650634,1.0280401742983196,0.30524898781442855,210.86111111111111,210.28571428571428,105.09055011750048,191,2021-11-05,ORL,SAS
102.62571428571428,205.09163855030585,206.2543531301688,1.0142428152223535,0.29075862362552385,210.42857142857144,210.42857142857144,104.08739337134776,188,2021-11-05,MIN,LAC
99.54777777777778,210.9432801984815,205.9874717205949,1.0044195180175401,0.35824537925651656,209.55555555555554,207.85714285714283,99.98773097527275,203,2021-11-05,TOR,CLE
103.17375000000001,215.22539749168612,217.2365266901629,1.02979368722404,0.363822455961002,221.75,220.57142857142856,106.24767643723132,202,2021-11-05,WAS,MEM
103.87319444444444,216.03988634446696,217.91614224829522,1.0493335643616142,0.35048414709393844,224.54166666666669,220.14285714285717,108.99762936801591,250,2021-11-05,SAC,CHA
102.69,217.8807862158897,212.9340258413931,1.0677176106972357,0.36657499336859634,222.375,216.28571428571428,109.64392144249913,211,2021-11-05,MIL,NYK
102.82809523809524,208.82392770199831,207.50248142612475,1.037313909556802,0.31636904949384886,214.5079365079365,214.14285714285717,106.66501348370775,211,2021-11-05,GSW,NOP
100.64375000000001,201.1886308918719,212.1621022961774,0.9965064426141014,0.3659756482209743,201.625,203.0,100.29214528384297,186,2021-11-05,DET,BKN
101.09095238095237,214.29013926539773,214.53846927299833,1.0310756009567852,0.3559043194186895,215.4920634920635,216.28571428571428,104.23241447748423,238,2021-11-06,PHX,ATL
103.4,216.9212542657262,214.31821850832875,1.0813302859272027,0.29987188870525466,223.22222222222223,219.28571428571428,111.80955156487276,195,2021-11-06,POR,LAL
98.3411111111111,223.68777727124123,206.79235487104245,1.097011442547287,0.40334845154752397,219.02777777777777,220.42857142857144,107.88132416170302,219,2021-11-06,CHI,PHI
101.41749999999999,220.71387553694225,196.08952007637373,1.0547150370809173,0.43638882542852153,223.625,220.71428571428572,106.96656227315393,233,2021-11-06,MIA,UTA
102.50999999999999,199.77880383481926,207.51272590191712,1.0455926052811237,0.2973654310332817,206.0,204.57142857142856,107.18369796736799,189,2021-11-06,DEN,HOU
103.0923611111111,204.47437568349437,210.28910451031157,0.978610086794395,0.3642213933255024,210.45833333333331,212.71428571428572,100.88722445478355,211,2021-11-06,DAL,BOS
