SUM_OREB_RATE_30,OREB_MATCHUP_TOTAL,OREB_MATCHUP_DIFF,SUM_EXPECTED_MISSES_30,EXPECTED_PACE,SUM_OREB_10,SUM_FGA_30,HOME_ROLL_OREB_RATE_30,AWAY_ROLL_OREB_RATE_30,HOME_ROLL_DREB_RATE_30,AWAY_ROLL_DREB_RATE_30,OREB_TOTAL,GAME_DATE,HOME_TEAM,AWAY_TEAM
0.5444717634230614,0.12194878747475354,0.032021923668135645,103.8,100.732,25.2,178.2,0.32375145332291055,0.22072031010015075,0.7962877458675778,0.7622084633712541,21,2021-10-29,TOR,ORL
0.3834773773419592,0.08238370130956937,-0.01489602050933117,98.4,104.74600000000001,17.2,178.2,0.1580220699728189,0.22545530736914032,0.7842594105366891,0.7864612176898877,21,2021-10-29,BKN,IND
0.42232876160080934,0.10675201550057661,-0.007609642798823521,94.6,104.55799999999999,19.2,178.2,0.19512740882306098,0.22720135277774833,0.7483253138653836,0.7459547756521122,27,2021-10-29,LAL,CLE
0.5285037339252423,0.11390871634738671,-0.017093703734371565,102.5,103.01666666666665,25.0,182.83333333333331,0.2238271352259176,0.3046765986993247,0.7850139777045361,0.7837281603160048,20,2021-10-30,IND,TOR
0.43906324386438006,0.09865949880723132,-0.011305886238857872,94.0,98.9,20.2,177.8,0.19529933481152995,0.24376390905285011,0.774442850310856,0.7763596771779268,25,2021-10-30,PHI,ATL
0.41656592982675017,0.09085036441410035,0.010231857505580373,102.4,106.344,20.0,184.8,0.21048604294092477,0.2060798868858254,0.8043998661713525,0.7598837896628363,20,2021-10-30,WAS,BOS
0.40569276115699565,0.08398096579554507,0.011135515682194862,98.4,103.24000000000001,19.0,176.8,0.20458380913340948,0.20110895202358617,0.8188905829890485,0.7675366347888403,13,2021-10-30,GSW,OKC
0.42681036457632204,0.09169571012779718,-0.009197036951656475,100.2,104.666,20.4,185.8,0.19256410256410256,0.23424626201221949,0.7846438482886217,0.7857890643229369,17,2021-10-30,MIL,SAS
0.5866670515986521,0.10891442647046051,-0.011542737710492329,104.4,103.59400000000001,27.6,188.8,0.31658556445834146,0.27008148714031066,0.7769984802431611,0.8462158422691111,19,2021-10-30,MEM,MIA
0.48268494621761115,0.10333975143227617,0.007419018065248549,102.93333333333334,102.88666666666666,23.433333333333334,184.16666666666669,0.26024022716909173,0.2224447190485194,0.7843942221300712,0.787198983988054,17,2021-10-30,NOP,NYK
0.4453319818523786,0.0940199525934085,-0.010782955006988865,99.36666666666667,103.86233333333334,20.4,178.76666666666665,0.19047008547008548,0.2548618963822931,0.7943927493908448,0.7814958779984048,20,2021-10-31,MIL,UTA
0.4073887620143861,0.08568009727086978,-0.01729575637664945,101.1,101.84733333333332,19.666666666666668,174.46666666666667,0.16872209534771945,0.23866666666666667,0.7842684630289402,0.7973462196718011,9,2021-10-31,BKN,DET
0.43710076537115927,0.10803605614997211,-0.006733624206619861,97.06666666666666,105.64033333333333,19.53333333333333,178.8,0.22174595896545404,0.2153548064057052,0.7335335062353373,0.7715799818495582,20,2021-10-31,LAL,HOU
0.4762719268851344,0.09671237004963215,-0.00991701669954282,100.36666666666667,105.519,21.933333333333334,185.46666666666667,0.24185305435305435,0.23441887253208007,0.7725665480824655,0.8205618002587091,25,2021-10-31,CHA,POR
0.38864536891577317,0.08789660427783574,0.015023074463501228,103.0,102.116,19.200000000000003,179.2,0.2009322089472941,0.1877131599684791,0.8058912602969033,0.7438945222357718,27,2021-10-31,DAL,SAC
0.433628718204509,0.0975337187091046,-0.026669435781689697,93.33333333333334,101.18833333333333,19.0,176.5,0.18725924959784357,0.2463694686066654,0.747933144489816,0.8107856271997179,20,2021-11-01,PHI,POR
0.3457893974196756,0.0857598283996886,-0.009903328719719239,104.43333333333334,102.39133333333334,16.9,179.23333333333335,0.16799452243403407,0.17779487498564153,0.7309732433875458,0.7742292469394182,23,2021-11-01,LAC,OKC
0.498863153386333,0.1379360327021027,-0.008575338606687202,101.31428571428572,101.54942857142858,22.4,176.3142857142857,0.2614715697599795,0.23739158362635351,0.6914141414141414,0.7526295225630774,28,2021-11-01,MIN,ORL
0.43917486536085903,0.09483147175069755,-0.003994119606747559,100.78571428571428,105.12428571428572,20.69047619047619,184.9047619047619,0.21782585616766964,0.22134900919318942,0.776765227642849,0.7914908869357807,18,2021-11-01,IND,SAS
0.4786901493146264,0.11880589793771806,0.005495579188557587,98.0,102.31285714285713,22.142857142857142,180.57142857142856,0.2413162234590806,0.2373739258555458,0.7613252627878859,0.7424510558293377,37,2021-11-01,CHA,CLE
0.47712694938473277,0.09396389468269868,0.005442987148079698,103.5,103.65666666666665,23.333333333333336,186.5,0.26723915497993916,0.20988779440479363,0.7891232603933703,0.8140113827290006,20,2021-11-01,ATL,WAS
0.35219246715647956,0.086648984418044,0.01277014612361517,101.83333333333334,105.68833333333333,17.0,182.16666666666666,0.19472174481864757,0.15747072233783196,0.7654203994316738,0.7447148734358037,23,2021-11-01,BOS,CHI
0.48552959758403275,0.10725872109606953,0.015145769813273521,98.0,101.89333333333332,22.0,180.0,0.2921900980415257,0.19333949954250707,0.7617844478216819,0.790539632024171,17,2021-11-01,MEM,DEN
0.5086311566299935,0.11093207517466767,-0.022791247142134638,101.38095238095238,101.72452380952382,24.095238095238095,182.85714285714286,0.20851874735524764,0.30011240927474586,0.7772112745354995,0.7886501114396924,20,2021-11-01,NYK,TOR
0.4789059712294666,0.09152930168434906,-0.028464256838353165,102.16666666666666,101.85166666666666,22.666666666666668,180.5,0.2014571128982553,0.2774488583312113,0.7837555374269066,0.8434777408980181,20,2021-11-02,DAL,MIA
0.42465413813239905,0.08204926145849945,0.00879516100008005,102.80952380952381,101.6852380952381,20.738095238095237,178.16666666666669,0.2242512077294686,0.20040293040293042,0.817232960837612,0.7974494242898971,23,2021-11-02,DET,MIL
0.4540014808321213,0.10769254860488767,0.012603671518157396,98.5,102.06,20.833333333333332,177.66666666666666,0.24308666803787585,0.21091481279424543,0.774579898332004,0.7525651630876329,21,2021-11-02,UTA,SAC
0.43426401939545967,0.10476210348293491,-0.00942145706137925,97.47619047619048,105.35904761904763,19.595238095238095,177.54761904761904,0.21604199080155803,0.2182220285939016,0.7383775568395914,0.7793469545716015,22,2021-11-02,LAL,HOU
0.46552004200113595,0.09043789311630113,-0.007148537790786384,99.4,101.51885714285714,22.114285714285714,179.0857142857143,0.20349595118087546,0.26202409082026046,0.8137834757834759,0.7953537776987912,21,2021-11-02,PHX,NOP
0.4267279288509106,0.0927500836312872,0.003579327041053175,102.28571428571429,101.86714285714285,20.857142857142858,182.71428571428572,0.22061575305362183,0.20611217579728874,0.783683918125406,0.7816805705417441,20,2021-11-03,SAS,DAL
0.4682317185640916,0.10167225918250418,0.02072724855681754,98.57142857142857,101.74285714285713,21.285714285714285,180.71428571428572,0.2853692903847998,0.1828624281792918,0.7786723838471559,0.7855419068143688,14,2021-11-03,MEM,DEN
