Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
418,Elijah Harkless,25,UTA,SG,15,2,211,7.7,.456,.540,.420,2.0,8.4,5.2,16.8,2.9,0.5,11.9,13.2,0.0,0.1,0.1,.015,-5.9,0.6,-5.3,-0.2,,harklej01
419,Leonard Miller,22,2TM,SF,28,1,209,14.1,.653,.424,.258,4.8,20.9,13.0,8.3,1.4,2.1,17.0,17.8,0.1,0.2,0.4,.088,-2.4,0.4,-1.9,0.0,,millele01
419,Leonard Miller,22,MIN,SF,19,0,95,12.2,.581,.364,.333,8.3,20.5,14.5,7.6,2.0,0.0,19.2,20.8,0.0,0.1,0.1,.051,-5.2,-0.6,-5.8,-0.1,,millele01
419,Leonard Miller,22,CHI,SF,9,1,114,15.6,.730,.485,.182,1.9,21.2,11.7,8.8,0.8,3.8,14.4,15.4,0.2,0.1,0.3,.118,0.0,1.3,1.3,0.1,,millele01
420,Andre Jackson Jr.,24,MIL,SG,33,0,205,4.7,.339,.576,.169,7.7,11.3,9.6,16.8,1.9,1.0,17.0,16.5,-0.4,0.1,-0.3,-0.063,-6.8,-1.6,-8.3,-0.3,,jacksan01
421,Joan Beringer,19,MIN,PF,30,1,205,18.3,.674,.000,.283,15.8,14.8,15.3,4.9,0.9,5.6,10.6,15.5,0.5,0.3,0.8,.188,-1.1,0.0,-1.1,0.0,,berinjo01
422,Garrison Mathews,29,IND,SG,15,1,196,11.4,.628,.885,.442,1.1,8.6,4.7,7.0,1.5,1.3,4.6,14.0,0.3,0.1,0.4,.101,-1.2,-0.1,-1.3,0.0,,mathega01
423,Jordan McLaughlin,29,SAS,PG,32,0,195,10.2,.506,.525,.082,2.3,9.6,6.1,16.0,3.2,0.4,16.0,16.3,-0.1,0.3,0.2,.058,-3.2,1.6,-1.6,0.0,,mclaujo01
424,Nigel Hayes-Davis,31,PHO,SF,27,0,195,4.2,.356,.348,.087,6.6,12.2,9.3,4.7,2.0,1.0,14.3,12.1,-0.3,0.2,-0.1,-0.024,-6.4,-0.9,-7.3,-0.3,,hayesni01
425,DaRon Holmes,23,DEN,PF,19,6,194,13.1,.682,.732,.196,3.7,12.9,8.5,11.2,0.0,1.9,11.6,15.5,0.4,0.1,0.4,.109,0.9,-1.6,-0.7,0.1,,holmeda01
426,Ron Harper Jr.,25,BOS,SF,18,2,193,9.2,.452,.817,.033,8.0,9.5,8.8,8.0,0.8,4.2,6.2,14.6,0.1,0.2,0.3,.067,-2.0,0.4,-1.6,0.0,,harpero02
427,Khaman Maluach,19,PHO,C,29,0,189,10.7,.551,.217,.283,13.0,21.0,16.9,2.9,0.5,8.6,26.9,15.9,-0.2,0.3,0.1,.026,-6.0,0.1,-5.8,-0.2,,maluakh01
428,JD Davison,23,HOU,PG,25,0,184,9.7,.474,.519,.167,1.2,12.4,6.9,20.0,1.4,2.0,10.8,14.8,0.1,0.2,0.3,.076,-2.9,0.8,-2.2,0.0,,davisjd01
429,Zach Collins,28,CHI,C,10,0,184,18.1,.666,.328,.313,9.4,22.8,16.2,12.2,0.5,1.9,12.1,19.0,0.4,0.1,0.5,.140,1.0,-0.8,0.2,0.1,,colliza01
430,Chaz Lanier,24,DET,SG,22,0,180,9.5,.498,.783,.083,4.3,7.3,5.8,9.4,1.3,0.0,3.1,14.7,0.2,0.2,0.4,.094,-1.7,-1.0,-2.7,0.0,,laniech01
431,RayJ Dennis,24,3TM,PG,15,0,177,6.7,.416,.534,.123,4.7,9.5,7.1,23.4,1.1,1.9,16.3,22.0,-0.4,0.1,-0.3,-0.077,-4.0,-1.1,-5.1,-0.1,,dennira01
431,RayJ Dennis,24,IND,PG,13,0,168,6.5,.421,.528,.125,5.0,8.7,6.8,22.0,0.8,2.1,15.6,22.6,-0.4,0.1,-0.3,-0.082,-3.9,-1.4,-5.4,-0.1,,dennira01
431,RayJ Dennis,24,LAC,PG,1,0,4,-6.0,,,,0.0,56.3,29.1,0.0,0.0,0.0,100.0,11.1,0.0,0.0,0.0,-0.275,-15.3,-0.3,-15.6,0.0,,dennira01
431,RayJ Dennis,24,ATL,PG,1,0,5,22.0,.000,1.000,.000,0.0,0.0,0.0,89.0,9.4,0.0,0.0,8.3,0.0,0.0,0.0,.248,1.7,9.3,11.0,0.0,,dennira01
432,Chris Youngblood,23,OKC,SG,32,0,174,10.1,.505,.850,.167,4.5,12.5,8.7,8.2,1.1,1.7,3.0,16.5,0.1,0.3,0.4,.109,-2.5,-0.4,-2.9,0.0,,youngch01
433,Drew Timme,25,LAL,PF,19,0,173,13.8,.656,.354,.146,5.6,11.2,8.5,13.1,1.4,0.0,12.1,14.6,0.3,0.1,0.4,.111,0.1,-1.2,-1.1,0.0,,timmedr01
434,Taurean Prince,31,MIL,SF,8,0,169,7.8,.623,.737,.079,0.0,8.5,4.3,6.3,1.7,1.2,11.3,11.6,0.1,0.1,0.2,.048,-3.4,-0.4,-3.8,-0.1,,princta02
435,Keshad Johnson,24,MIA,SF,23,0,164,11.1,.518,.397,.270,10.0,16.8,13.4,1.6,1.4,2.7,12.4,19.9,-0.1,0.2,0.2,.049,-4.1,-1.0,-5.1,-0.1,,johnske10
436,Hunter Tyson,25,DEN,PF,21,2,162,6.5,.398,.635,.250,2.9,21.4,12.6,13.2,0.6,0.6,8.0,16.9,-0.2,0.1,-0.1,-0.015,-5.2,-1.7,-6.9,-0.2,,tysonhu01
437,Jamal Cain,26,ORL,SF,23,0,154,8.7,.545,.469,.367,5.0,6.5,5.8,7.2,1.6,0.6,11.0,17.6,0.1,0.1,0.2,.059,-4.5,-1.3,-5.8,-0.1,,cainja01
438,Matisse Thybulle,28,POR,SG,13,0,154,19.0,.661,.634,.244,4.8,10.0,7.4,9.9,7.4,4.1,15.0,14.0,0.3,0.4,0.6,.192,0.5,7.8,8.4,0.4,,thybuma01
439,Dejounte Murray,29,NOP,PG,6,6,154,18.7,.598,.382,.412,1.4,21.3,11.2,31.4,3.4,1.2,20.7,27.4,0.1,0.2,0.3,.084,-0.1,1.2,1.1,0.1,,murrade01
440,Walker Kessler,24,UTA,C,5,5,154,20.8,.786,.216,.541,16.0,22.3,19.1,14.0,2.1,5.8,25.9,16.6,0.3,0.1,0.5,.152,1.6,1.7,3.3,0.2,,kesslwa01
441,DeAndre Jordan,37,NOP,C,9,6,150,15.1,.739,.000,.650,13.5,30.0,21.6,5.2,1.0,5.1,25.9,9.6,0.2,0.2,0.4,.119,-1.0,0.2,-0.8,0.0,,jordade01
442,Jonathan Mogbo,24,TOR,PF,25,0,149,9.3,.497,.000,.179,8.9,19.9,14.3,10.3,1.3,3.3,20.9,11.0,0.0,0.2,0.2,.059,-4.4,0.3,-4.1,-0.1,,mogbojo01
443,Lachlan Olbrich,22,CHI,C,22,0,146,8.8,.432,.286,.357,11.9,21.6,16.8,13.8,1.3,0.6,13.4,10.8,0.1,0.1,0.2,.063,-4.5,0.1,-4.3,-0.1,,olbrila01
444,Blake Hinson,26,UTA,SF,7,1,139,12.2,.646,.702,.085,5.4,8.0,6.7,5.1,0.0,0.7,2.0,14.8,0.3,-0.1,0.2,.073,0.5,-4.0,-3.4,-0.1,,hinsobl01
445,Miles Kelly,23,DAL,PG,14,0,134,8.3,.484,.750,.023,4.0,14.6,9.5,12.1,1.4,0.6,11.9,15.8,-0.1,0.1,0.1,.019,-4.5,-0.5,-5.0,-0.1,,kellymi02
446,Obi Toppin,27,IND,PF,8,2,133,11.3,.468,.491,.245,4.7,24.5,14.3,14.3,2.1,0.0,10.7,20.9,-0.1,0.1,0.0,.008,-3.2,-0.2,-3.4,-0.1,,toppiob01
447,Leaky Black,26,WAS,SF,4,2,132,8.4,.531,.529,.118,5.5,13.0,9.2,4.0,0.4,2.7,7.7,12.3,0.1,0.0,0.1,.020,-3.3,-2.6,-5.9,-0.1,,blackle01
448,Xavier Tillman Sr.,27,2TM,C,21,1,129,10.2,.471,.486,.000,11.2,13.4,12.3,5.2,2.4,2.3,14.6,13.7,0.0,0.2,0.2,.059,-3.1,0.1,-3.0,0.0,,tillmxa01
448,Xavier Tillman Sr.,27,BOS,C,14,1,111,11.3,.500,.484,.000,10.0,14.6,12.3,6.0,2.7,1.8,13.9,14.1,0.0,0.2,0.2,.080,-2.1,0.9,-1.2,0.0,,tillmxa01
448,Xavier Tillman Sr.,27,CHO,C,7,0,18,3.1,.250,.500,.000,19.1,6.1,12.5,0.0,0.0,5.1,20.0,11.7,0.0,0.0,0.0,-0.069,-9.0,-4.9,-14.0,-0.1,,tillmxa01
449,Kevin McCullar Jr.,24,NYK,SF,18,0,126,8.0,.470,.500,.147,7.8,13.3,10.5,19.3,2.3,0.0,23.3,15.9,-0.1,0.2,0.1,.032,-4.5,0.5,-4.0,-0.1,,mcculke01
450,Mason Plumlee,35,CHO,C,14,2,125,13.5,.752,.000,1.000,9.2,26.5,18.0,16.5,2.4,0.0,34.2,8.9,0.2,0.2,0.4,.136,-1.5,2.5,1.0,0.1,,plumlma01
451,Julian Reese,22,WAS,PF,4,3,124,13.0,.629,.000,.800,14.3,20.8,17.5,8.4,1.9,1.4,25.0,12.1,0.1,0.1,0.2,.079,-2.8,-1.5,-4.3,-0.1,,reeseju01
452,Cameron Payne,31,PHI,PG,9,0,122,7.7,.348,.696,.000,0.0,8.3,4.1,22.1,4.4,0.8,6.1,17.0,-0.2,0.2,0.0,-0.007,-6.2,1.7,-4.6,-0.1,,payneca01
453,Bradley Beal,32,LAC,SG,6,6,121,5.2,.476,.396,.167,2.0,2.8,2.4,12.2,1.2,0.0,14.9,22.2,-0.2,0.0,-0.2,-0.070,-6.6,-3.9,-10.5,-0.3,,bealbr01
454,Doug McDermott,34,SAC,SF,13,0,120,8.9,.593,.953,.047,0.9,8.6,4.6,4.7,1.2,0.8,12.0,17.6,0.0,0.0,0.0,-0.001,-1.5,-2.4,-3.9,-0.1,,mcderdo01
455,Amari Williams,24,BOS,PF,17,2,118,9.0,.517,.000,.750,6.6,21.0,13.9,7.2,0.9,7.7,24.8,10.4,0.0,0.2,0.2,.071,-5.1,2.6,-2.5,0.0,,william01
456,Dereck Lively II,21,DAL,C,7,4,115,15.1,.670,.000,.556,13.2,20.6,17.0,14.8,1.6,8.0,30.9,11.8,0.1,0.2,0.3,.135,-3.0,3.7,0.7,0.1,,livelde01
457,Jeff Green,39,HOU,PF,22,0,114,14.6,.615,.667,.067,3.0,11.5,7.3,5.1,0.4,0.8,2.1,17.5,0.3,0.1,0.4,.152,1.9,-2.0,-0.1,0.1,,greenje02
458,A.J. Lawson,25,TOR,SG,14,0,110,12.1,.545,.537,.220,7.0,16.6,11.7,3.7,1.8,2.7,8.2,19.0,0.1,0.2,0.2,.094,-2.3,-0.4,-2.7,0.0,,lawsoaj01
459,Bismack Biyombo,33,SAS,C,19,1,108,4.7,.714,.000,.556,4.1,11.6,7.9,5.5,1.8,0.8,34.9,6.7,0.0,0.1,0.2,.070,-6.4,1.6,-4.7,-0.1,,biyombi01
460,Luke Travers,24,CLE,SG,12,0,103,10.3,.350,.444,.250,9.5,16.0,12.7,10.8,3.3,3.6,7.0,17.5,-0.1,0.2,0.1,.027,-4.2,1.0,-3.2,0.0,,travelu01
461,Adou Thiero,21,LAL,SF,18,0,102,10.5,.551,.048,.476,8.3,13.4,10.9,7.6,2.4,1.8,13.6,12.6,0.1,0.1,0.2,.087,-4.2,0.1,-4.2,-0.1,,thierad01
462,Alondes Williams,26,WAS,SG,4,0,101,19.2,.745,.538,.308,5.2,21.3,13.1,16.9,1.4,2.6,14.5,14.3,0.3,0.1,0.3,.160,1.4,-0.6,0.8,0.1,,willial06
463,Alijah Martin,24,TOR,SG,14,0,98,10.8,.444,.394,.364,6.8,9.3,8.0,10.7,3.0,3.0,7.3,18.0,0.0,0.1,0.1,.061,-3.7,1.2,-2.5,0.0,,martial01
464,Oscar Tshiebwe,26,UTA,C,9,1,98,15.5,.670,.000,.087,15.3,24.9,20.0,10.2,0.5,1.0,7.7,10.9,0.2,0.0,0.3,.134,-0.5,-2.0,-2.5,0.0,,tshieos01
465,Javonte Cooke,26,POR,SG,19,0,94,0.0,.275,.561,.049,4.5,17.6,10.9,9.9,3.0,0.0,17.7,21.9,-0.5,0.1,-0.4,-0.185,-10.4,-1.3,-11.7,-0.2,,cookeja01
466,Chris Boucher,33,BOS,PF,9,0,94,7.8,.392,.600,.160,2.4,18.3,10.4,4.0,2.7,7.5,3.6,12.8,-0.1,0.2,0.1,.063,-5.8,2.7,-3.1,0.0,,bouchch01
467,Killian Hayes,24,SAC,PG,7,0,92,3.5,.244,.529,.059,1.2,12.5,6.7,31.6,1.0,0.0,2.8,16.5,-0.2,0.0,-0.2,-0.096,-8.5,-2.8,-11.3,-0.2,,hayeski01
468,Johnny Juzang,24,MIN,SG,21,0,88,12.2,.518,.632,.211,6.4,14.7,10.6,9.7,1.1,1.0,10.7,22.3,0.0,0.1,0.1,.041,-1.6,-1.7,-3.3,0.0,,juzanjo01
469,Kobe Bufkin,22,LAL,SG,10,1,88,4.8,.392,.528,.222,1.4,10.3,6.0,7.5,1.1,3.2,9.2,21.6,-0.2,0.1,-0.2,-0.086,-7.2,-3.4,-10.6,-0.2,,bufkiko01
470,Yuki Kawamura,24,CHI,PG,7,0,88,14.6,.484,.778,.333,4.9,16.7,10.9,36.3,3.2,0.0,19.5,12.3,0.1,0.1,0.2,.130,-1.9,0.9,-1.0,0.0,,kawamyu01
471,Tolu Smith,25,DET,PF,7,0,88,16.3,.571,.000,.857,16.4,24.9,20.7,8.8,1.1,5.7,14.7,15.9,0.1,0.2,0.3,.172,-1.4,1.7,0.2,0.0,,smithto05
472,Thanasis Antetokounmpo,33,MIL,SF,25,0,81,18.7,.576,.105,1.053,12.6,12.3,12.5,6.8,5.5,4.9,12.6,17.4,0.1,0.2,0.3,.154,-1.3,2.7,1.4,0.1,,antetth01
473,Joe Ingles,38,MIN,SF,20,0,80,8.1,.563,.750,.250,0.0,9.5,4.8,23.6,4.2,0.0,44.1,8.4,0.0,0.1,0.1,.061,-4.0,3.4,-0.6,0.0,,inglejo01
474,Pacôme Dadiet,20,NYK,SG,21,0,77,14.3,.581,.611,.333,4.3,18.8,11.5,14.7,1.9,0.0,4.6,12.0,0.2,0.1,0.3,.177,0.7,2.2,2.9,0.1,,dadiepa01
475,Eric Gordon,37,PHI,SG,6,0,74,14.5,.754,.667,.095,1.5,1.5,1.5,5.9,2.6,1.3,12.1,14.2,0.1,0.1,0.2,.115,2.2,0.2,2.3,0.1,,gordoer01
476,Malevy Leons,26,GSW,SF,10,0,72,16.7,.581,.333,.333,15.1,17.0,16.0,9.6,3.4,3.8,12.7,13.9,0.1,0.1,0.2,.165,-0.8,1.9,1.1,0.1,,leonsma01
477,Kyle Lowry,39,PHI,PG,8,0,72,7.1,.478,1.000,.500,0.0,9.4,4.6,15.5,1.3,1.3,12.0,9.8,0.0,0.0,0.1,.047,-4.5,-1.0,-5.6,-0.1,,lowryky01
478,Bobi Klintman,22,DET,SF,11,0,69,3.5,.366,.500,.115,8.1,20.6,14.4,11.3,2.1,0.0,18.0,19.9,-0.2,0.1,-0.1,-0.061,-8.3,-1.2,-9.5,-0.1,,klintbo01
479,David Jones García,24,SAS,SF,11,0,68,21.1,.579,.200,.240,6.5,13.8,10.3,37.8,4.2,1.3,15.3,20.3,0.1,0.1,0.3,.205,2.7,3.7,6.4,0.1,,jonesda06
480,Kadary Richmond,24,WAS,SG,3,0,67,20.2,.722,.250,.188,1.6,14.5,7.9,16.8,5.7,1.3,10.4,12.0,0.2,0.1,0.3,.180,-0.8,4.2,3.3,0.1,,richmka01
481,Antonio Reeves,25,CHO,SG,9,0,66,12.4,.675,.650,.000,3.5,10.1,6.8,4.4,0.7,0.0,4.8,13.4,0.1,0.0,0.2,.118,1.0,-0.2,0.9,0.0,,reevean01
482,Monte Morris,30,IND,PG,6,0,65,7.0,.414,.400,.200,1.6,10.4,5.8,19.0,0.7,1.3,8.4,15.4,-0.1,0.0,0.0,-0.025,-4.5,-1.5,-6.0,-0.1,,morrimo01
483,Drew Peterson,26,CHO,PF,6,0,64,0.6,.148,.750,.125,5.4,10.4,7.9,3.8,2.3,1.4,0.0,11.1,-0.2,0.1,-0.1,-0.083,-8.3,-1.7,-9.9,-0.1,,peterdr01
484,Nate Williams,26,GSW,SG,4,0,63,11.8,.584,.348,.348,8.6,1.8,5.2,11.4,0.8,0.0,10.2,19.8,0.1,0.0,0.1,.094,-1.5,-1.8,-3.3,0.0,,willije02
485,Trey Jemison,26,NYK,C,11,0,61,6.4,.605,.000,.143,14.4,14.6,14.5,6.0,0.8,3.3,44.6,9.4,0.0,0.1,0.0,.031,-7.1,-0.3,-7.4,-0.1,,jemistr01
486,James Wiseman,24,IND,C,4,1,58,4.1,.597,.000,.200,9.0,5.8,7.5,7.1,0.0,1.5,31.5,11.6,0.0,0.0,0.0,-0.026,-8.0,-1.0,-9.0,-0.1,,wisemja01
487,Patrick Baldwin Jr.,23,3TM,SF,7,0,58,10.5,.510,.563,.375,11.1,13.8,12.5,4.4,1.7,4.7,13.9,16.0,0.0,0.0,0.0,.012,-4.3,-1.4,-5.7,-0.1,,baldwpa01
487,Patrick Baldwin Jr.,23,LAC,SF,2,0,12,23.8,1.025,.750,.500,0.0,9.4,4.8,0.0,0.0,0.0,17.0,21.8,0.1,0.0,0.1,.214,5.2,-0.4,4.8,0.0,,baldwpa01
487,Patrick Baldwin Jr.,23,PHI,SF,1,0,2,6.3,,,,0.0,56.3,27.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.083,-5.1,-3.0,-8.1,0.0,,baldwpa01
487,Patrick Baldwin Jr.,23,SAC,SF,4,0,44,7.1,.327,.500,.333,14.7,13.1,13.9,5.8,2.2,6.2,12.7,15.2,-0.1,0.0,0.0,-0.046,-6.9,-1.6,-8.5,-0.1,,baldwpa01
488,Johni Broome,23,PHI,C,11,0,55,0.4,.188,.208,.250,13.7,18.4,16.0,9.4,2.6,3.4,10.1,22.8,-0.3,0.1,-0.2,-0.213,-11.8,-4.5,-16.3,-0.2,,broomjo01
489,Cody Martin,30,IND,SF,4,0,55,3.0,.277,.500,.600,1.9,26.6,13.8,4.6,3.5,3.1,24.0,12.8,-0.2,0.1,-0.1,-0.101,-10.0,2.1,-7.9,-0.1,,martico01
490,Caleb Houstan,23,ATL,SF,12,0,54,10.2,.705,.800,.200,7.9,4.0,6.0,4.8,0.9,1.7,19.7,15.7,0.1,0.0,0.1,.071,-2.1,-2.4,-4.5,0.0,,houstca01
491,Wendell Moore Jr.,24,DET,SG,5,0,54,10.0,.635,.143,.286,2.1,10.1,6.1,6.8,1.8,3.7,11.3,6.8,0.1,0.1,0.1,.116,-2.5,1.8,-0.7,0.0,,moorewe01
492,Jayson Tatum,27,BOS,PF,2,2,54,17.9,.499,.531,.219,4.1,25.9,15.2,25.4,0.9,0.0,7.9,30.6,0.1,0.1,0.1,.119,1.3,1.1,2.3,0.1,,tatumja01
493,Nikola Topić,20,OKC,PG,5,0,53,2.0,.500,.313,.000,4.3,11.8,8.2,25.2,0.0,0.0,40.7,22.0,-0.2,0.1,-0.1,-0.134,-8.2,-3.1,-11.3,-0.1,,topicni01
494,Isaiah Crawford,24,HOU,SF,9,0,52,9.8,.625,.750,.000,2.2,10.5,6.4,7.2,1.9,5.3,20.0,8.1,0.0,0.1,0.1,.086,-1.7,1.7,0.0,0.0,,crawfis01
495,TyTy Washington Jr.,24,LAC,PG,8,0,52,18.1,.679,.500,.000,2.3,2.2,2.2,31.5,3.8,3.6,17.6,14.5,0.1,0.1,0.2,.171,2.9,2.9,5.8,0.1,,washity02
496,E.J. Liddell,25,BRK,PF,10,0,49,13.8,.600,.647,.176,6.8,20.0,13.0,0.0,1.0,0.0,0.0,16.3,0.1,0.0,0.1,.098,0.8,-2.9,-2.1,0.0,,liddeej01
497,Lawson Lovering,22,MEM,C,2,1,49,13.7,.574,.000,.500,13.2,19.8,16.5,8.2,2.9,1.9,14.1,12.0,0.1,0.1,0.1,.119,-3.6,-0.1,-3.7,0.0,,loverla01
498,Keshon Gilbert,22,WAS,PG,3,0,48,4.5,.521,.500,1.000,4.4,6.7,5.5,7.4,2.0,7.4,51.0,10.2,-0.1,0.0,-0.1,-0.087,-6.3,-0.5,-6.7,-0.1,,gilbeke01
499,Jahmir Young,25,MIA,PG,10,0,47,6.0,.416,.350,.050,4.3,4.4,4.3,16.8,1.0,0.0,8.9,19.3,-0.1,0.0,0.0,-0.019,-6.8,-1.8,-8.6,-0.1,,youngja05
500,Mac McClung,27,2TM,SG,4,0,47,8.5,.430,.480,.160,0.0,11.8,5.7,6.4,5.1,3.7,10.1,26.7,-0.2,0.1,-0.1,-0.085,-8.3,2.9,-5.4,0.0,,mccluma01
500,Mac McClung,27,IND,SG,3,0,34,13.0,.481,.556,.222,0.0,13.2,6.4,4.7,7.0,2.5,9.2,27.0,-0.1,0.1,0.0,-0.010,-5.6,6.1,0.5,0.0,,mccluma01
500,Mac McClung,27,CHI,SG,1,0,13,-3.2,.286,.286,.000,0.0,8.1,4.1,10.7,0.0,6.7,12.5,25.9,-0.1,0.0,-0.1,-0.282,-15.2,-5.3,-20.6,-0.1,,mccluma01
501,LJ Cryer,24,GSW,PG,5,0,45,10.4,.667,.889,.000,0.0,14.8,7.3,3.3,0.0,0.0,5.3,17.9,0.0,0.0,0.1,.080,-1.4,-0.9,-2.3,0.0,,cryerlj01
502,Mo Bamba,27,2TM,C,4,0,44,13.1,.455,.000,.000,24.4,30.3,27.3,3.1,0.0,6.7,15.4,12.3,0.0,0.0,0.1,.058,-4.6,-3.9,-8.5,-0.1,,bambamo01
502,Mo Bamba,27,TOR,C,2,0,6,-2.8,.000,.000,.000,18.4,19.0,18.7,0.0,0.0,16.2,0.0,14.3,0.0,0.0,0.0,-0.160,-18.9,-2.7,-21.6,0.0,,bambamo01
502,Mo Bamba,27,UTA,C,2,0,38,15.6,.556,.000,.000,25.3,32.1,28.7,3.6,0.0,5.2,18.2,12.0,0.1,0.0,0.1,.093,-2.3,-4.1,-6.4,0.0,,bambamo01
503,Isaiah Stevens,25,SAC,PG,3,0,43,16.5,.571,.143,.571,5.0,2.7,3.9,29.5,5.6,0.0,18.6,10.6,0.1,0.0,0.1,.131,-1.3,3.2,1.9,0.0,,steveis01
504,Garrett Temple,39,TOR,SG,15,0,42,4.1,.329,.750,.750,2.6,10.8,6.7,11.2,3.5,2.3,22.0,13.9,-0.1,0.1,0.0,-0.045,-7.7,1.4,-6.3,0.0,,templga01
505,Trey Alexander,22,NOP,SG,5,0,42,13.6,.778,.333,.000,0.0,10.4,5.1,16.4,1.1,2.3,10.0,9.9,0.1,0.0,0.1,.130,0.4,0.1,0.6,0.0,,alexatr01
506,Dario Šarić,31,SAC,C,5,0,41,0.7,.363,.500,.333,2.6,14.0,8.1,5.9,0.0,0.0,22.5,9.2,-0.1,0.0,-0.1,-0.082,-6.7,-2.3,-9.1,-0.1,,saricda01
507,Skal Labissière,29,WAS,PF,3,0,38,16.4,.650,.500,.000,8.3,17.0,12.6,11.2,2.5,2.3,9.1,12.1,0.1,0.0,0.1,.124,-0.1,0.3,0.1,0.0,,labissk01
508,MarJon Beauchamp,25,PHI,SF,2,0,36,18.3,.571,.500,.286,3.0,18.8,10.7,20.3,4.0,2.6,16.0,22.0,0.0,0.1,0.1,.106,2.6,0.4,3.1,0.0,,beaucma01
509,Charles Bassey,25,2TM,C,3,0,36,13.9,.436,.000,.333,21.0,24.0,22.5,7.2,1.3,5.2,8.8,13.1,0.0,0.0,0.1,.097,-2.2,-0.6,-2.8,0.0,,bassech01
509,Charles Bassey,25,MEM,C,2,0,31,12.7,.376,.000,.375,24.4,27.9,26.1,8.4,1.5,3.0,9.7,13.8,0.0,0.0,0.1,.081,-3.0,-1.4,-4.4,0.0,,bassech01
509,Charles Bassey,25,PHI,C,1,0,5,21.4,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,18.7,0.0,8.5,0.0,0.0,0.0,.191,2.8,4.1,6.9,0.0,,bassech01
510,Grant Nelson,23,BRK,PF,4,0,35,17.7,.634,.000,1.111,3.2,17.5,9.9,22.3,1.4,13.1,23.0,21.6,0.0,0.1,0.1,.100,-2.5,4.5,2.1,0.0,,nelsogr02
511,Tyson Etienne,26,BRK,PG,8,0,34,-1.2,.400,.867,.000,0.0,0.0,0.0,4.4,0.0,0.0,6.3,20.5,-0.1,0.0,-0.1,-0.139,-8.8,-5.8,-14.6,-0.1,,etienty01
512,Emanuel Miller,25,CHI,PF,5,0,33,15.2,.540,.462,.154,3.3,6.4,4.9,17.6,2.9,0.0,0.0,17.7,0.1,0.0,0.1,.114,1.7,0.9,2.6,0.0,,milleem01
513,Jahmyl Telfort,24,LAC,PF,8,0,32,-5.4,.087,1.000,1.000,0.0,10.6,5.5,3.8,1.6,0.0,14.8,9.4,-0.1,0.0,-0.1,-0.164,-12.1,-1.8,-13.8,-0.1,,telfoja01
514,Seth Curry,35,GSW,SG,2,0,32,18.8,.778,.444,.000,3.4,10.4,6.9,14.1,3.0,0.0,0.0,11.9,0.1,0.0,0.1,.222,1.5,3.8,5.3,0.1,,curryse01
515,Curtis Jones,24,DEN,SG,6,0,31,1.4,.321,.643,.000,3.8,14.0,9.1,12.9,0.0,0.0,6.7,21.1,-0.1,0.0,-0.1,-0.139,-9.8,-5.8,-15.5,-0.1,,jonescu01
516,Hunter Sallis,22,PHI,SG,7,0,26,2.1,.595,.000,.400,0.0,4.3,2.1,20.9,0.0,3.6,46.0,17.7,-0.1,0.0,-0.1,-0.150,-7.7,-3.0,-10.7,-0.1,,sallihu01
517,Mark Sears,23,MIL,PG,7,0,26,15.3,.666,.615,.615,4.4,4.3,4.3,12.4,0.0,0.0,19.5,34.9,0.0,0.0,0.0,.020,2.3,-4.6,-2.2,0.0,,searsma01
518,Chris Mañon,24,LAL,SG,6,0,25,9.2,.347,1.000,1.000,4.8,22.7,14.0,4.6,5.8,7.5,25.8,6.8,0.0,0.1,0.0,.081,-6.4,5.8,-0.6,0.0,,manonch01
519,Orlando Robinson,25,ORL,C,4,1,25,14.7,.700,.400,.000,8.8,9.0,8.9,16.5,1.9,0.0,0.0,8.5,0.1,0.0,0.1,.200,0.7,0.6,1.3,0.0,,robinor01
520,Dalano Banton,26,2TM,PG,5,0,25,12.7,.506,.000,.222,4.8,0.0,2.3,25.1,2.0,4.0,16.8,20.8,0.0,0.0,0.0,.033,-4.4,-0.8,-5.2,0.0,,bantoda01
520,Dalano Banton,26,LAC,PG,2,0,10,28.0,.750,.000,.000,12.0,0.0,5.8,38.1,5.0,0.0,20.0,22.2,0.0,0.0,0.0,.228,7.3,5.1,12.4,0.0,,bantoda01
520,Dalano Banton,26,BOS,PG,3,0,15,2.5,.340,.000,.400,0.0,0.0,0.0,16.4,0.0,6.7,14.5,19.9,0.0,0.0,0.0,-0.097,-12.2,-4.7,-16.9,-0.1,,bantoda01
521,Dillon Jones,24,NYK,SF,5,0,24,16.9,.518,.600,.800,9.1,18.6,13.8,19.8,4.1,0.0,0.0,12.0,0.1,0.0,0.1,.254,-1.1,4.7,3.6,0.0,,jonesdi01
522,Koby Brea,23,PHO,SG,5,0,23,25.4,.810,.778,.222,0.0,9.9,4.8,20.8,0.0,0.0,0.0,18.2,0.1,0.0,0.2,.324,11.3,-0.5,10.8,0.1,,breako01
523,Tristan Enaruna,24,CLE,SF,4,0,23,12.7,.424,.222,.111,23.7,9.5,16.6,12.1,0.0,0.0,9.6,19.0,0.0,0.0,0.0,.033,-1.9,-4.1,-5.9,0.0,,enarutr01
