Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
353,Tristan Vukcevic,22,WAS,C,38,8,489,17.4,.584,.406,.366,5.1,18.0,11.5,14.3,1.6,4.9,14.5,26.0,0.2,0.3,0.5,.053,0.0,-0.7,-0.7,0.2,,vukcetr01
354,Dorian Finney-Smith,32,HOU,PF,28,0,481,4.9,.446,.762,.050,5.8,11.1,8.5,5.9,1.1,0.8,13.4,10.4,-0.1,0.4,0.3,.035,-4.9,-0.4,-5.3,-0.4,,finnedo01
355,Keaton Wallace,26,ATL,PG,45,2,473,10.6,.533,.593,.097,0.7,10.4,5.5,22.4,2.1,1.0,13.2,15.3,0.2,0.5,0.7,.067,-2.6,0.3,-2.4,-0.1,,wallake01
356,Ben Saraf,19,BRK,SG,27,5,457,5.7,.452,.406,.278,1.9,8.3,5.0,23.2,2.1,0.8,25.1,19.0,-1.0,0.2,-0.8,-0.082,-6.3,-1.8,-8.0,-0.7,,sarafbe01
357,Kristaps Porziņģis,30,2TM,C,19,12,453,19.7,.584,.410,.380,5.2,17.1,11.1,17.3,0.9,4.8,6.6,26.4,0.9,0.5,1.5,.154,2.1,0.8,2.8,0.6,,porzikr01
357,Kristaps Porziņģis,30,ATL,C,17,12,413,20.6,.592,.410,.386,5.4,17.4,11.3,16.7,1.0,4.8,6.1,26.4,1.0,0.5,1.5,.169,2.6,0.8,3.4,0.6,,porzikr01
357,Kristaps Porziņģis,30,GSW,C,2,0,40,10.9,.485,.421,.316,2.7,13.9,8.2,23.0,0.0,4.6,12.2,26.1,0.0,0.0,0.0,-0.008,-3.7,0.7,-3.0,0.0,,porzikr01
358,Anthony Gill,33,WAS,PF,36,1,449,12.8,.649,.248,.208,7.0,12.7,9.8,9.5,1.6,2.2,15.4,12.1,0.6,0.1,0.7,.072,-2.1,-1.3,-3.3,-0.2,,gillan01
359,Trayce Jackson-Davis,25,2TM,C,43,1,446,17.0,.597,.009,.564,14.4,18.0,16.2,10.8,1.6,4.3,12.2,14.8,0.8,0.6,1.4,.155,-0.4,0.5,0.1,0.2,,jackstr02
359,Trayce Jackson-Davis,25,GSW,C,36,1,411,16.0,.601,.010,.510,12.4,17.6,15.0,11.0,1.5,4.2,12.6,14.7,0.7,0.5,1.2,.143,-0.9,0.7,-0.3,0.2,,jackstr02
